,lot_area,lot_frontage,overall_qual,overall_cond,exter_qual2,exter_cond2,year_built,year_remod/add,home_age,total_house_sf,porch_sf,gr_liv_area,bsmt_sf,totrms_abvgrd,bedroom_abvgr,baths,date_blt_1945-1979,date_blt_1980-2010,lot_config_Corner,lot_config_CulDSac,lot_config_Inside,lotshape_reg_yn,zone_FV,zone_RL,zone_RM,house_type_1Fam,house_type_Twnhs,neighborhood_Edwards,neighborhood_IDOTRR,neighborhood_NAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_StoneBr,remodel_yn,fireplaces,fireplace_yn,pool_yn,fence_yn,railroad_yn,garage_cars,bsmt_ok_yn,bsmt_usable_yn,bsmt_cond_2,bsmt_qual_2,house_sf_x_overall_qual,overall_qual_x_overall_cond,bsmt_sf_x_cond2,bsmt_sf_x_hgt,saleprice
15,10114,93.0,5,5,3,3,2004,2005,6,2860.0,0,1430,1430.0,7,3,2.0,0,1,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,True,0,False,False,False,False,2.0,True,False,3,5,14300.0,25,4290.0,7150.0,173500
16,4571,34.0,5,5,3,3,1916,1950,94,1968.0,96,1344,624.0,7,4,1.0,0,0,0,0,1,True,0,0,1,1,0,0,0,0,0,0,1,0,True,0,False,False,False,False,3.0,True,False,3,3,9840.0,25,1872.0,1872.0,98000
17,8816,80.0,5,6,3,3,1963,1963,47,2242.0,160,1121,1121.0,5,3,2.0,1,0,1,0,0,True,0,1,0,1,0,0,0,0,0,0,0,0,False,0,False,False,True,False,2.0,True,True,3,3,11210.0,30,3363.0,3363.0,139000
18,8197,71.0,6,5,3,3,1977,1977,33,1945.0,138,1285,660.0,7,3,1.5,1,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,False,1,True,False,True,False,2.0,True,False,3,3,11670.0,30,1980.0,1980.0,143500
19,8640,72.0,7,5,3,3,2009,2009,1,2303.0,259,1547,756.0,7,3,2.5,0,1,0,0,1,True,1,0,0,1,0,0,0,0,0,0,0,0,False,0,False,False,False,False,2.0,True,True,3,4,16121.0,35,2268.0,3024.0,215200
20,8724,109.0,5,5,3,3,1968,1968,42,1788.0,0,894,894.0,5,3,1.0,1,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,False,1,True,False,False,False,2.0,True,False,3,4,8940.0,25,2682.0,3576.0,129000
21,5664,40.0,8,5,4,3,2000,2000,10,3160.0,330,1659,1501.0,5,2,3.0,0,1,0,0,1,False,0,1,0,0,1,0,0,0,0,0,0,1,False,1,True,False,False,False,2.0,True,True,3,4,25280.0,40,4503.0,6004.0,278000
22,12867,103.0,8,5,4,3,2005,2006,5,3462.0,527,2253,1209.0,8,3,2.5,0,1,1,0,0,False,0,1,0,1,0,0,0,0,0,1,0,0,True,1,True,False,False,False,2.0,True,False,3,5,27696.0,40,3627.0,6045.0,344133
23,7980,0.0,6,7,3,4,1992,2007,18,2355.0,525,1187,1168.0,6,3,3.0,0,1,0,0,1,False,0,1,0,1,0,0,0,0,0,0,0,0,True,0,False,False,True,False,2.0,True,True,3,4,14130.0,42,3504.0,4672.0,185000
24,34650,100.0,5,5,3,3,1955,1955,55,2112.0,264,1056,1056.0,5,3,2.0,1,0,0,0,1,True,0,1,0,0,0,0,0,0,0,0,0,0,False,0,False,False,False,False,2.0,True,True,3,3,10560.0,25,3168.0,3168.0,145000
25,10573,92.0,6,6,3,3,1961,1961,49,2906.0,386,1453,1453.0,6,3,3.0,1,0,1,0,0,False,0,1,0,1,0,0,0,1,0,0,0,0,False,1,True,False,True,False,2.0,True,True,3,3,17436.0,36,4359.0,4359.0,187500
26,8450,65.0,5,8,3,4,1965,2009,45,1788.0,704,894,894.0,5,3,2.0,1,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,True,1,True,False,True,True,1.0,True,True,3,3,8940.0,40,2682.0,2682.0,138500
27,11700,0.0,5,6,3,3,1937,1995,73,2880.0,80,1938,942.0,7,4,2.0,0,0,0,0,1,False,0,1,0,1,0,0,0,0,0,0,0,0,True,1,True,False,False,False,1.0,True,False,3,3,14400.0,30,2826.0,2826.0,198000
28,8250,75.0,5,6,3,4,1895,2006,115,2948.0,133,1991,957.0,9,4,2.0,0,0,0,0,1,True,0,0,0,0,0,0,1,0,0,0,0,0,True,0,False,False,False,False,0.0,True,False,3,3,14740.0,30,2871.0,2871.0,119600
29,8064,60.0,5,7,3,4,1949,2006,61,1596.0,0,924,672.0,6,3,1.0,1,0,1,0,0,True,0,1,0,1,0,0,0,1,0,0,0,0,True,1,True,False,True,False,2.0,True,False,3,3,7980.0,35,2016.0,2016.0,122900
30,9600,80.0,8,5,4,3,1981,1981,29,5048.0,714,2524,2524.0,9,4,3.5,0,1,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,False,1,True,False,True,False,2.0,True,True,3,4,40384.0,40,7572.0,10096.0,278000
31,11435,0.0,8,7,3,3,1929,1950,81,2309.0,0,1517,792.0,7,3,1.0,0,0,1,0,0,False,0,1,0,1,0,0,0,0,0,0,0,0,True,2,True,False,False,False,2.0,True,False,3,4,18472.0,56,2376.0,3168.0,230000
32,9549,30.0,8,5,4,4,1995,1996,15,2988.0,276,1494,1494.0,6,2,2.5,0,1,0,1,0,False,0,1,0,0,1,0,0,0,0,0,0,0,True,1,True,False,False,False,2.0,True,False,4,4,23904.0,40,5976.0,5976.0,270000
33,10950,60.0,6,6,3,3,1952,1952,58,1896.0,96,948,948.0,5,2,1.0,1,0,0,0,1,True,0,1,0,1,0,0,0,1,0,0,0,0,False,0,False,False,False,False,2.0,True,True,3,3,11376.0,36,2844.0,2844.0,125000
34,10637,79.0,8,5,4,3,2007,2008,3,3423.0,296,1718,1705.0,7,3,3.0,0,1,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,True,1,True,False,False,False,3.0,True,True,3,5,27384.0,40,5115.0,8525.0,297000
35,9000,80.0,6,6,3,3,1958,1958,52,1302.0,120,1142,160.0,5,2,1.0,1,0,0,0,1,False,0,1,0,1,0,0,0,1,0,0,0,0,False,1,True,False,False,False,1.0,True,False,3,4,7812.0,36,480.0,640.0,113500
36,2665,41.0,5,6,3,3,1977,1977,33,2232.0,156,1475,757.0,6,4,2.0,1,0,0,0,1,True,0,0,1,0,1,0,0,0,0,0,0,0,False,1,True,False,False,False,1.0,True,True,3,3,11160.0,30,2271.0,2271.0,127000
37,11751,105.0,6,6,3,3,1977,1977,33,3688.0,244,1844,1844.0,7,3,2.0,1,0,0,0,1,False,0,1,0,1,0,0,0,0,0,0,0,0,False,1,True,False,True,False,2.0,True,False,3,4,22128.0,36,5532.0,7376.0,190000
38,9600,80.0,7,6,3,3,1973,1973,37,2484.0,0,1242,1242.0,6,3,1.5,1,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,False,1,True,False,False,False,2.0,True,True,3,3,17388.0,42,3726.0,3726.0,175500
39,8428,60.0,5,7,3,4,1994,1994,16,1980.0,256,990,990.0,5,3,2.0,0,1,0,0,1,False,0,1,0,1,0,0,0,0,0,0,0,0,False,0,False,False,False,False,1.0,True,True,4,4,9900.0,35,3960.0,3960.0,146000
40,9937,75.0,5,6,4,3,1965,1965,45,2512.0,872,1256,1256.0,6,3,2.5,1,0,0,0,1,True,0,1,0,1,0,1,0,0,0,0,0,0,False,0,False,False,False,False,1.0,True,False,3,3,12560.0,30,3768.0,3768.0,147500
41,13891,107.0,10,5,5,3,2006,2006,4,4152.0,674,2076,2076.0,7,2,3.5,0,1,0,0,1,True,0,1,0,1,0,0,0,0,0,1,0,0,False,1,True,False,False,False,3.0,True,True,4,5,41520.0,50,8304.0,10380.0,465000
42,9101,0.0,5,6,3,4,1978,1978,32,2207.0,363,1110,1097.0,4,1,2.0,1,0,1,0,0,False,0,1,0,1,0,0,0,0,0,0,0,0,False,1,True,False,False,False,2.0,True,True,3,4,11035.0,30,3291.0,4388.0,165500
43,12150,81.0,5,5,3,3,1954,1954,56,2845.0,0,1795,1050.0,7,4,2.0,1,0,0,0,1,True,0,0,1,1,0,0,0,0,0,0,1,0,False,0,False,False,False,False,1.0,True,False,3,3,14225.0,25,3150.0,3150.0,131500
44,11200,70.0,5,5,3,3,1965,1965,45,2080.0,0,1040,1040.0,5,3,2.0,1,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,False,0,False,False,False,False,1.0,True,True,3,3,10400.0,25,3120.0,3120.0,129500
45,9670,100.0,8,6,3,3,1935,1950,75,2481.0,207,1873,608.0,9,4,1.5,0,0,0,0,1,False,0,1,0,1,0,0,0,0,0,0,0,0,True,2,True,False,False,False,2.0,False,False,2,3,19848.0,48,1216.0,1824.0,257076
46,10998,60.0,5,5,3,3,1941,1960,69,2588.0,136,1604,984.0,6,3,2.0,0,0,0,0,1,True,0,1,0,1,0,1,0,0,0,0,0,0,True,0,False,False,False,False,2.0,True,False,3,3,12940.0,25,2952.0,2952.0,117000
47,7200,60.0,7,6,3,2,1931,2000,79,2278.0,112,1502,776.0,6,3,1.5,0,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,True,1,True,False,True,False,1.0,True,False,3,4,15946.0,42,2328.0,3104.0,149000
48,9920,80.0,5,5,3,3,1954,1954,56,2119.0,164,1063,1056.0,6,3,2.0,1,0,0,0,1,True,0,1,0,1,0,0,0,1,0,0,0,0,False,0,False,False,True,False,1.0,True,True,3,3,10595.0,25,3168.0,3168.0,128000
49,2448,36.0,7,5,4,3,2003,2004,7,2390.0,54,1626,764.0,6,2,2.5,0,1,0,0,1,True,0,1,0,0,1,0,0,0,0,1,0,0,True,0,False,False,False,False,2.0,True,False,3,4,16730.0,35,2292.0,3056.0,155000
50,2998,0.0,6,5,4,3,2000,2000,10,2280.0,64,1524,756.0,4,2,2.5,0,1,0,0,1,True,1,0,0,0,1,0,0,0,0,0,0,0,False,0,False,False,False,False,2.0,True,True,3,4,13680.0,30,2268.0,3024.0,166000
51,7804,65.0,4,3,3,3,1928,1950,82,3103.0,519,1981,1122.0,7,4,3.0,0,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,True,2,True,False,True,False,2.0,True,False,3,3,12412.0,12,3366.0,3366.0,135000
53,1476,21.0,4,7,3,3,1970,1970,40,1638.0,252,1092,546.0,5,3,1.5,1,0,0,0,1,True,0,0,1,0,1,0,0,0,0,0,0,0,False,0,False,False,False,False,0.0,True,True,3,3,6552.0,28,1638.0,1638.0,76000
54,10170,75.0,6,6,3,3,1951,1951,59,1791.0,0,1575,216.0,5,2,1.5,1,0,1,0,0,True,0,1,0,1,0,0,0,1,0,0,0,0,False,1,True,False,False,False,2.0,True,False,3,3,10746.0,36,648.0,648.0,155000
55,9364,80.0,6,7,3,3,1969,1969,41,2015.0,451,1352,663.0,7,4,1.5,1,0,1,0,0,True,0,1,0,1,0,0,0,0,0,0,0,0,False,0,False,False,True,False,1.0,True,True,3,3,12090.0,42,1989.0,1989.0,158000
56,2544,24.0,7,5,4,3,2004,2005,6,1800.0,344,1200,600.0,4,2,3.5,0,1,0,0,1,True,1,0,0,0,1,0,0,0,0,0,0,0,True,0,False,False,False,False,2.0,True,True,3,4,12600.0,35,1800.0,2400.0,149500
57,9888,82.0,5,6,3,4,1954,1975,56,1872.0,160,936,936.0,5,2,1.0,1,0,0,0,1,True,0,1,0,1,0,0,0,1,0,0,0,0,True,0,False,False,True,False,1.0,True,False,3,3,9360.0,30,2808.0,2808.0,121000
58,7942,68.0,6,7,3,3,1953,1953,57,2080.0,0,1040,1040.0,6,3,1.5,1,0,0,0,1,True,0,1,0,1,0,0,0,1,0,0,0,0,False,0,False,False,True,False,1.0,True,True,3,3,12480.0,42,3120.0,3120.0,136000
59,15038,0.0,6,5,3,3,1996,1996,14,2552.0,336,1636,916.0,7,3,2.5,0,1,1,0,0,False,0,1,0,1,0,0,0,0,0,0,0,0,False,1,True,False,False,False,2.0,True,True,3,4,15312.0,30,2748.0,3664.0,173000
60,11764,92.0,8,7,4,3,1999,2007,11,3422.0,246,2270,1152.0,9,4,2.5,0,1,0,1,0,False,0,1,0,1,0,0,0,0,1,0,0,0,True,1,True,False,False,False,3.0,True,True,3,4,27376.0,56,3456.0,4608.0,290000
61,9000,75.0,8,5,4,3,2007,2007,3,3794.0,936,2610,1184.0,11,4,2.5,0,1,0,0,1,True,1,0,0,1,0,0,0,0,0,0,0,0,False,1,True,False,False,False,2.0,True,True,3,4,30352.0,40,3552.0,4736.0,303477
62,20062,0.0,7,7,4,4,1977,2001,33,2903.0,496,1483,1420.0,4,1,2.5,1,0,0,0,1,False,0,1,0,1,0,0,0,0,0,0,0,0,True,2,True,False,False,False,2.0,True,True,3,4,20321.0,49,4260.0,5680.0,270000
63,7308,81.0,5,5,2,2,1920,1950,90,2676.0,236,1740,936.0,6,2,1.0,0,0,1,0,0,True,0,0,1,1,0,0,0,0,0,0,1,0,True,1,True,False,False,False,1.0,True,True,3,3,13380.0,25,2808.0,2808.0,122250
64,8750,70.0,5,5,3,3,1955,1955,55,2764.0,280,1382,1382.0,6,3,1.5,1,0,0,0,1,True,0,1,0,1,0,0,0,1,0,0,0,0,False,0,False,False,True,False,1.0,True,True,3,3,13820.0,25,4146.0,4146.0,153000
65,8402,70.0,5,5,3,3,2007,2007,3,2240.0,60,1120,1120.0,6,3,1.0,0,1,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,False,0,False,False,False,False,0.0,True,True,3,4,11200.0,25,3360.0,4480.0,147000
66,4000,63.0,7,8,3,3,1930,1995,80,1629.0,0,1098,531.0,5,2,2.0,0,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,True,1,True,False,True,False,1.0,True,True,3,4,11403.0,56,1593.0,2124.0,148500
67,3363,32.0,7,5,4,3,2004,2004,6,2684.0,80,1708,976.0,7,3,2.0,0,1,0,0,1,True,0,0,1,0,1,1,0,0,0,0,0,0,False,0,False,False,False,False,2.0,True,False,3,4,18788.0,35,2928.0,3904.0,130000
68,13615,94.0,9,5,5,3,2006,2006,4,3604.0,368,1802,1802.0,7,3,2.5,0,1,1,0,0,False,0,1,0,1,0,0,0,0,0,1,0,0,False,1,True,False,False,False,3.0,True,False,3,5,32436.0,45,5406.0,9010.0,372000
69,3013,43.0,7,5,4,3,2005,2005,5,2868.0,182,1506,1362.0,6,2,2.0,0,1,0,0,1,True,0,1,0,0,1,0,0,0,0,0,0,0,False,1,True,False,False,False,2.0,True,True,3,4,20076.0,35,4086.0,5448.0,213490
70,17485,44.0,7,5,4,3,2009,2010,1,3016.0,0,1508,1508.0,5,1,2.0,0,1,0,0,1,False,0,1,0,1,0,1,0,0,0,0,0,0,True,2,True,False,False,False,2.0,True,True,3,4,21112.0,35,4524.0,6032.0,308030
71,23730,0.0,7,5,4,3,1996,1997,14,3872.0,284,2032,1840.0,7,3,4.0,0,1,0,0,1,False,0,1,0,1,0,0,0,0,0,0,0,0,True,0,False,False,False,False,3.0,True,True,3,5,27104.0,35,5520.0,9200.0,300000
72,8910,79.0,6,6,3,3,1959,1959,51,1849.0,192,1194,655.0,6,3,1.5,1,0,1,0,0,True,0,1,0,1,0,0,0,1,0,0,0,0,False,1,True,False,False,False,2.0,True,True,3,3,11094.0,36,1965.0,1965.0,159500
73,2522,24.0,7,5,4,3,2004,2004,6,2679.0,80,1709,970.0,7,3,2.0,0,1,0,0,1,True,0,0,1,0,1,1,0,0,0,0,0,0,False,0,False,False,False,False,2.0,True,False,3,4,18753.0,35,2910.0,3880.0,137500
74,8688,73.0,7,5,4,3,2005,2005,5,3232.0,326,1616,1616.0,7,3,2.0,0,1,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,False,0,False,False,False,False,3.0,True,False,3,4,22624.0,35,4848.0,6464.0,232000
75,6291,0.0,6,6,4,4,1930,1950,80,1536.0,84,768,768.0,4,1,1.0,0,0,0,0,1,False,0,0,1,1,0,0,1,0,0,0,0,0,True,0,False,False,False,True,2.0,True,False,3,3,9216.0,36,2304.0,2304.0,93850
76,17529,0.0,5,5,3,3,1924,1950,86,1744.0,116,872,872.0,5,2,1.0,0,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,True,1,True,False,False,False,1.0,True,False,3,3,8720.0,25,2616.0,2616.0,105000
77,6324,60.0,4,6,3,3,1927,1950,83,1040.0,136,520,520.0,4,1,1.0,0,0,0,0,1,False,0,0,1,1,0,0,0,0,0,0,0,0,True,0,False,False,False,False,1.0,True,False,3,3,4160.0,24,1560.0,1560.0,68500
78,11600,80.0,5,5,3,3,1960,1960,50,3379.0,0,2274,1105.0,12,5,2.0,1,0,1,0,0,True,0,1,0,0,0,0,0,1,0,0,0,0,False,0,False,False,False,False,2.0,True,True,3,3,16895.0,25,3315.0,3315.0,154300
79,7288,50.0,5,7,4,4,1925,2003,85,2537.0,176,1601,936.0,6,3,2.0,0,0,0,0,1,True,0,0,1,1,0,0,1,0,0,0,0,0,True,0,False,False,False,False,0.0,False,False,1,3,12685.0,35,936.0,2808.0,129850
80,4571,35.0,5,7,3,3,1910,1950,100,1848.0,423,1232,616.0,6,3,1.0,0,0,0,0,1,True,0,0,1,1,0,0,0,0,0,0,1,0,True,0,False,False,False,False,2.0,True,False,3,3,9240.0,35,1848.0,1848.0,114000
81,17423,63.0,9,5,5,3,2008,2009,2,4450.0,120,2234,2216.0,9,1,3.0,0,1,0,1,0,False,0,1,0,1,0,0,0,0,0,0,0,1,True,1,True,False,False,False,3.0,True,True,3,5,40050.0,45,6648.0,11080.0,501837
82,12665,100.0,5,8,3,3,1915,1950,95,2292.0,612,1416,876.0,7,4,1.5,0,0,0,0,1,False,0,0,1,1,0,0,0,0,0,0,1,0,True,1,True,False,False,False,3.0,True,False,3,3,11460.0,40,2628.0,2628.0,153900
83,9000,60.0,4,7,3,4,1971,2006,39,1728.0,200,864,864.0,5,3,1.0,1,0,0,0,0,True,0,1,0,1,0,0,0,1,0,0,0,0,True,0,False,False,True,False,2.0,True,True,3,3,6912.0,28,2592.0,2592.0,130000
84,4500,32.0,6,5,3,3,1997,1997,13,2378.0,244,1189,1189.0,4,2,3.0,0,1,0,0,0,True,0,0,1,0,1,0,0,0,0,0,0,0,False,0,False,False,False,False,2.0,True,True,3,5,14268.0,30,3567.0,5945.0,160500
85,6373,48.0,9,5,5,3,2006,2006,4,3332.0,378,1666,1666.0,6,2,3.0,0,1,0,0,1,True,0,1,0,0,1,0,0,0,0,1,0,0,False,1,True,False,False,False,2.0,True,True,4,5,29988.0,45,6664.0,8330.0,310090
86,10083,67.0,7,5,4,3,2003,2003,7,2376.0,82,1200,1176.0,5,2,3.0,0,1,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,False,0,False,False,False,False,2.0,True,True,3,4,16632.0,35,3528.0,4704.0,184900
87,13300,70.0,5,7,3,3,1956,2000,54,1856.0,417,928,928.0,4,2,1.0,1,0,0,0,1,True,0,1,0,1,0,0,0,1,0,0,0,0,True,0,False,False,False,False,1.0,True,True,3,4,9280.0,35,2784.0,3712.0,132000
88,9600,80.0,5,5,3,3,1969,1969,41,2624.0,334,1336,1288.0,6,3,2.5,1,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,False,1,True,False,False,False,2.0,True,True,3,4,13120.0,25,3864.0,5152.0,163000
89,3215,30.0,7,5,4,3,2004,2004,6,1800.0,344,1200,600.0,4,2,2.5,0,1,0,0,1,True,1,0,0,0,1,0,0,0,0,0,0,0,False,0,False,False,False,False,2.0,True,True,3,4,12600.0,35,1800.0,2400.0,155000
90,11104,0.0,6,6,3,3,1969,1969,41,2854.0,216,1427,1427.0,7,4,2.5,1,0,0,0,1,False,0,1,0,1,0,0,0,0,0,0,0,0,False,0,False,False,False,False,2.0,True,True,3,3,17124.0,36,4281.0,4281.0,183000
91,15295,0.0,7,5,4,3,1996,2002,14,2852.0,289,1992,860.0,7,3,3.5,0,1,1,0,0,False,0,1,0,1,0,0,0,0,0,0,0,0,True,2,True,False,False,False,2.0,True,True,3,4,19964.0,35,2580.0,3440.0,211000
92,9109,70.0,7,5,4,3,1994,1994,16,2294.0,204,1540,754.0,6,3,3.5,0,1,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,False,0,False,False,False,True,2.0,True,False,3,4,16058.0,35,2262.0,3016.0,184000
93,7018,64.0,5,5,3,3,1979,1979,31,1535.0,0,1535,0.0,8,4,2.0,1,0,0,0,1,True,0,1,0,0,0,0,0,0,0,0,0,0,False,0,False,False,True,False,2.0,False,False,0,0,7675.0,25,0.0,0.0,118858
94,14112,0.0,5,7,3,3,1964,1964,46,2304.0,227,1152,1152.0,6,3,2.0,1,0,1,0,0,False,0,1,0,1,0,0,0,1,0,0,0,0,False,1,True,False,False,False,2.0,True,True,3,3,11520.0,35,3456.0,3456.0,180500
95,3523,80.0,8,5,4,3,2006,2007,4,2292.0,120,1151,1141.0,5,2,3.0,0,1,0,0,1,False,1,0,0,0,1,0,0,0,0,0,0,0,True,0,False,False,False,False,2.0,True,True,3,4,18336.0,40,3423.0,4564.0,166000
96,15312,88.0,6,5,3,3,1960,1960,50,2276.0,140,1138,1138.0,6,3,1.5,1,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,False,1,True,False,True,False,2.0,True,False,3,3,13656.0,30,3414.0,3414.0,148000
97,7450,74.0,5,5,3,3,1956,1956,54,1968.0,144,1074,894.0,6,2,1.0,1,0,0,0,1,False,0,1,0,1,0,0,0,1,0,0,0,0,False,1,True,False,True,False,2.0,True,True,3,3,9840.0,25,2682.0,2682.0,124000
98,7313,60.0,9,5,5,3,2005,2005,5,3122.0,297,1561,1561.0,6,2,3.0,0,1,0,0,1,True,0,1,0,0,1,0,0,0,0,1,0,0,False,1,True,False,False,False,2.0,True,True,3,5,28098.0,45,4683.0,7805.0,277500
99,10019,83.0,8,5,4,3,1995,1995,15,4068.0,813,2726,1342.0,9,4,2.5,0,1,0,0,1,False,0,1,0,1,0,0,0,0,1,0,0,0,False,1,True,False,False,False,3.0,True,True,3,4,32544.0,40,4026.0,5368.0,350000
100,15401,53.0,9,5,5,3,2004,2004,6,3768.0,366,1884,1884.0,7,2,3.0,0,1,0,1,0,False,0,1,0,1,0,0,0,0,0,0,0,1,False,1,True,False,False,False,3.0,True,True,3,5,33912.0,45,5652.0,9420.0,387000
101,9098,58.0,4,7,3,3,1920,2002,90,1133.0,144,605,528.0,5,2,2.0,0,0,0,0,1,False,0,1,0,1,0,1,0,0,0,0,0,0,True,0,False,False,False,False,0.0,True,True,3,3,4532.0,28,1584.0,1584.0,86000
102,16280,103.0,8,9,5,5,1976,2007,34,3097.0,460,1671,1426.0,6,3,4.0,1,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,True,1,True,False,True,False,2.0,True,True,5,4,24776.0,72,7130.0,5704.0,290000
103,9392,72.0,3,3,3,2,1900,1950,110,1042.0,166,797,245.0,5,2,1.0,0,0,1,0,0,True,0,0,0,1,0,0,1,0,0,0,0,0,True,0,False,False,False,False,0.0,True,False,3,2,3126.0,9,735.0,490.0,44000
